unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HJK;Janeiro;2024;I;0 a 5;9,3;0;0;0
HJK;Janeiro;2024;II;6 a 10;55,9;1;0;0,56
HJK;Janeiro;2024;III;11 a 5 ;73,1;0;0;0
HJK;Janeiro;2024;IV;> 15;100;0;0;0
HRAD;Janeiro;2024;I;0 a 5;9,3;5;1;0,46
HRAD;Janeiro;2024;II;6 a 10;55,9;3;1;1,68
HRAD;Janeiro;2024;III;11 a 5 ;73,1;0;0;0
HRAD;Janeiro;2024;IV;> 15;100;0;0;0
HRJP;Janeiro;2024;I;0 a 5;9,3;4;0;0,37
HRJP;Janeiro;2024;II;6 a 10;55,9;3;1;1,68
HRJP;Janeiro;2024;III;11 a 5 ;73,1;0;0;0
HRJP;Janeiro;2024;IV;> 15;100;1;1;1
MOV;Janeiro;2024;I;0 a 5;9,3;0;0;0
MOV;Janeiro;2024;II;6 a 10;55,9;5;0;2,8
MOV;Janeiro;2024;III;11 a 15 ;73,1;1;0;0,73
MOV;Janeiro;2024;IV;> 15;100;0;0;0
